頭腦	頭脳	ㄊㄡˊ ㄋㄠˇ / tóu nǎo
臨時	臨時	ㄌㄧㄣˊ ㄕˊ / lín shí
證據	証拠	ㄓㄥˋ ㄐㄩˋ / zhèng jù
權益	権益、権利	ㄑㄩㄢˊ ㄧˋ / quán yì
一連串	一連の	ㄧˋ ㄌㄧㄢˊ ㄔㄨㄢˋ / yì lián chuàn
二氧化碳	二酸化炭素	ㄦˋ ㄧㄤˇ ㄏㄨㄚˋ ㄊㄢˋ / èr yǎng huà tàn
上任	着任する、就任する	ㄕㄤˋ ㄖㄣˋ / shàng rèn
大門	大門、表門	ㄉㄚˋ ㄇㄣˊ / dà mén
大海	大海、海	ㄉㄚˋ ㄏㄞˇ / dà hǎi
女士	レディ、女性への敬称	ㄋㄩˇ ㄕˋ / nǚ shì
不然	さもないと	ㄅㄨˋ ㄖㄢˊ / bù rán
分發	分配する、配布する	ㄈㄣ ㄈㄚ / fēn fā
比喻	比喩	ㄅㄧˇ ㄩˋ / bǐ yù
刊物	刊行物	ㄎㄢ ㄨˋ / kān wù
可口可樂	コカ・コーラ	ㄎㄜˇ ㄎㄡˇ ㄎㄜˇ ㄌㄜˋ / kě kǒu kě lè
古人	古人、昔の人	ㄍㄨˇ ㄖㄣˊ / gǔ rén
外表	外見、見かけ	ㄨㄞˋ ㄅㄧㄠˇ / wài biǎo
末期	末期	ㄇㄛˋ ㄑㄧˊ / mò qí
各位	各位、皆様	ㄍㄜˋ ㄨㄟˋ / gè wèi
各項	各項目	ㄍㄜˋ ㄒㄧㄤˋ / gè xiàng
回應	応答する、レスポンス	ㄏㄨㄟˊ ㄧㄥˋ / huí yìng
地主	地主	ㄉㄧˋ ㄓㄨˇ / dì zhǔ
成分	成分	ㄔㄥˊ ㄈㄣˋ / chéng fèn
自動化	自動化	ㄗˋ ㄉㄨㄥˋ ㄏㄨㄚˋ / zì dòng huà
行李	荷物、スーツケース	ㄒㄧㄥˊ ㄌㄧˇ / xíng lǐ
形態	形態	ㄒㄧㄥˊ ㄊㄞˋ / xíng tài
防範	防ぐ、警戒する	ㄈㄤˊ ㄈㄢˋ / fáng fàn
依照	～に従って、～通りに	ㄧ ㄓㄠˋ / yī zhào
制定	制定する	ㄓˋ ㄉㄧㄥˋ / zhì dìng
服用	服用する	ㄈㄨˊ ㄩㄥˋ / fú yòng
空中	空中	ㄎㄨㄥ ㄓㄨㄥ / kōng zhōng
娃娃	赤ちゃん、人形	ㄨㄚˊ ˙ㄨㄚ / wá wa
室內	室内	ㄕˋ ㄋㄟˋ / shì nèi
持有	所持する、保有する	ㄔˊ ㄧㄡˇ / chí yǒu
流浪	さすらう、流浪する	ㄌㄧㄡˊ ㄌㄤˋ / liú làng
洗澡	入浴する、シャワーを浴びる	ㄒㄧˇ ㄗㄠˇ / xǐ zǎo
負責人	責任者	ㄈㄨˋ ㄗㄜˊ ㄖㄣˊ / fù zé rén
重複	重複する	ㄔㄨㄥˊ ㄈㄨˋ / chóng fù
飛行	飛行する	ㄈㄟ ㄒㄧㄥˊ / fēi xíng
效益	効果と利益、効率	ㄒㄧㄠˋ ㄧˋ / xiào yì
海底	海底	ㄏㄞˇ ㄉㄧˇ / hǎi dǐ
海峽	海峡	ㄏㄞˇ ㄒㄧㄚˊ / hǎi xiá
乾隆	乾隆（清の元号）	ㄑㄧㄢˊ ㄌㄨㄥˊ / qián lóng
停留	停留する、とどまる	ㄊㄧㄥˊ ㄌㄧㄡˊ / tíng liú
基因	遺伝子	ㄐㄧ ㄧㄣ / jī yīn
情節	あらすじ、プロット	ㄑㄧㄥˊ ㄐㄧㄝˊ / qíng jié
教育廳	教育庁	ㄐㄧㄠˋ ㄩˋ ㄊㄧㄥ / jiào yù tīng
教科書	教科書	ㄐㄧㄠˋ ㄎㄜ ㄕㄨ / jiào kē shū
敏感	敏感な	ㄇㄧㄣˇ ㄍㄢˇ / mǐn gǎn
深圳	深セン	ㄕㄣ ㄓㄣˋ / shēn zhèn
理財	財テク、資産運用	ㄌㄧˇ ㄘㄞˊ / lǐ cái
陸地	陸地	ㄌㄨˋ ㄉㄧˋ / lù dì
剩下	残る、余る	ㄕㄥˋ ㄒㄧㄚˋ / shèng xià
測驗	テスト、測定する	ㄘㄜˋ ㄧㄢˋ / cè yàn
開創	創始する、切り開く	ㄎㄞ ㄔㄨㄤˋ / kāi chuàng
節奏	リズム	ㄐㄧㄝˊ ㄗㄡˋ / jié zòu
解放	解放する	ㄐㄧㄝˇ ㄈㄤˋ / jiě fàng
試圖	試みる、～しようとする	ㄕˋ ㄊㄨˊ / shì tú
對策	対策	ㄉㄨㄟˋ ㄘㄜˋ / duì cè
精確	正確な、精密な	ㄐㄧㄥ ㄑㄩㄝˋ / jīng què
臺灣省	台湾省	ㄊㄞˊ ㄨㄢ ㄕㄥˇ / tái wān shěng
蒙古	モンゴル	ㄇㄥˊ ㄍㄨˇ / méng gǔ
颱風	台風	ㄊㄞˊ ㄈㄥ / tái fēng
增強	増強する、強まる	ㄗㄥ ㄑㄧㄤˊ / zēng qiáng
審查	審査する	ㄕㄣˇ ㄔㄚˊ / shěn chá
適用	適用する	ㄕˋ ㄩㄥˋ / shì yòng
靠近	近づく、～の近くに	ㄎㄠˋ ㄐㄧㄣˋ / kào jìn
興起	興る、巻き起こる	ㄒㄧㄥ ㄑㄧˇ / xīng qǐ
選區	選挙区	ㄒㄩㄢˇ ㄑㄩ / xuǎn qū
離婚	離婚する	ㄌㄧˊ ㄏㄨㄣ / lí hūn
寶座	王座、ポスト	ㄅㄠˇ ㄗㄨㄛˋ / bǎo zuò
三毛	三毛（作家名）	ㄙㄢ ㄇㄠˊ / sān máo
上午	午前	ㄕㄤˋ ㄨˇ / shàng wǔ
口味	味、好み	ㄎㄡˇ ㄨㄟˋ / kǒu wèi
小時候	子供の頃	ㄒㄧㄠˇ ㄕˊ ㄏㄡˋ / xiǎo shí hòu
工程師	エンジニア	ㄍㄨㄥ ㄔㄥˊ ㄕ / gōng chéng shī
互動	相互作用、交流する	ㄏㄨˋ ㄉㄨㄥˋ / hù dòng
手冊	マニュアル、ハンドブック	ㄕㄡˇ ㄘㄜˋ / shǒu cè
手排	マニュアル車（MT車）	ㄕㄡˇ ㄆㄞˊ / shǒu pái
主因	主な原因	ㄓㄨˇ ㄧㄣ / zhǔ yīn
以免	～しないように	ㄧˇ ㄇㄧㄢˇ / yǐ miǎn
伊朗	イラン	ㄧ ㄌㄤˇ / yī lǎng
收集	収集する	ㄕㄡ ㄐㄧˊ / shōu jí
西洋	西洋	ㄒㄧ ㄧㄤˊ / xī yáng
忍受	耐え忍ぶ、我慢する	ㄖㄣˇ ㄕㄡˋ / rěn shòu
抉擇	選択する、決断	ㄐㄩㄝˊ ㄗㄜˊ / jué zé
底盤	シャーシ、車台	ㄉㄧˇ ㄆㄢˊ / dǐ pán
所在	所在、ある場所	ㄙㄨㄛˇ ㄗㄞˋ / suǒ zài
林洋港	林洋港（人名）	ㄌㄧㄣˊ ㄧㄤˊ ㄍㄤˇ / lín yáng gǎng
武器	武器	ㄨˇ ㄑㄧˋ / wǔ qì
空調	エアコン、空調	ㄎㄨㄥ ㄊㄧㄠˊ / kōng tiáo
後果	結末、結果（悪い意味で）	ㄏㄡˋ ㄍㄨㄛˇ / hòu guǒ
指定	指定する	ㄓˇ ㄉㄧㄥˋ / zhǐ dìng
政權	政権	ㄓㄥˋ ㄑㄩㄢˊ / zhèng quán
甚麼	何	ㄕㄣˊ ㄇㄜ˙ / shén me
皇上	皇帝、陛下	ㄏㄨㄤˊ ㄕㄤˋ / huáng shàng
相比	比べる	ㄒㄧㄤ ㄅㄧˇ / xiāng bǐ
風貌	風貌、姿	ㄈㄥ ㄇㄠˋ / fēng mào
時速	時速	ㄕˊ ㄙㄨˋ / shí sù
財政部	財政部（台湾の財務省）	ㄘㄞˊ ㄓㄥˋ ㄅㄨˋ / cái zhèng bù
參選	立候補する	ㄘㄢ ㄒㄩㄢˇ / cān xuǎn
寂寞	寂しい	ㄐㄧˊ ㄇㄛˋ / jí mò
情人	恋人	ㄑㄧㄥˊ ㄖㄣˊ / qíng rén
淘汰	淘汰する	ㄊㄠˊ ㄊㄞˋ / táo tài
第一次	第一次、初めて	ㄉㄧˋ ㄧ ㄘˋ / dì yī cì
復活	復活する	ㄈㄨˋ ㄏㄨㄛˊ / fù huó
描寫	描写する	ㄇㄧㄠˊ ㄒㄧㄝˇ / miáo xiě
椅子	椅子	ㄧˇ ˙ㄗ / yǐ zi
焦慮	焦る、不安になる	ㄐㄧㄠ ㄌㄩˋ / jiāo lǜ
著色	着色する	ㄓㄨㄛˊ ㄙㄜˋ / zhuó sè
街道	街道、通り	ㄐㄧㄝ ㄉㄠˋ / jiē dào
開拓	開拓する	ㄎㄞ ㄊㄨㄛˋ / kāi tuò
園地	園地、場所	ㄩㄢˊ ㄉㄧˋ / yuán dì
當心	気をつける、用心する	ㄉㄤ ㄒㄧㄣ / dāng xīn
補充	補充する、補足する	ㄅㄨˇ ㄔㄨㄥ / bǔ chōng
裝飾	装飾する、飾る	ㄓㄨㄤ ㄕˋ / zhuāng shì
解除	解除する	ㄐㄧㄝˇ ㄔㄨˊ / jiě chú
遊行	デモ行進、パレード	ㄧㄡˊ ㄒㄧㄥˊ / yóu xíng
過年	年を越す、お正月を過ごす	ㄍㄨㄛˋ ㄋㄧㄢˊ / guò nián
電動	電動の	ㄉㄧㄢˋ ㄉㄨㄥˋ / diàn dòng
對待	待遇する、扱う	ㄉㄨㄟˋ ㄉㄞˋ / duì dài
疑問	疑問	ㄧˊ ㄨㄣˋ / yí wèn
精采	素晴らしい、見事な	ㄐㄧㄥ ㄘㄞˇ / jīng cǎi
製成	製造する、作られる	ㄓˋ ㄔㄥˊ / zhì chéng
調降	引き下げる	ㄊㄧㄠˊ ㄐㄧㄤˋ / tiáo jiàng
輪迴	輪廻	ㄌㄨㄣˊ ㄏㄨㄟˊ / lún huí
遭到	遭う、直面する	ㄗㄠ ㄉㄠˋ / zāo dào
隨便	勝手に、気ままに	ㄙㄨㄟˊ ㄅㄧㄢˋ / suí biàn
關切	関心を寄せる、気にかける	ㄍㄨㄢ ㄑㄧㄝˋ / guān qiè
難免	避けがたい、～しがちである	ㄋㄢˊ ㄇㄧㄢˇ / nán miǎn
難過	悲しい、つらい	ㄋㄢˊ ㄍㄨㄛˋ / nán guò
一貫	一貫した	ㄧˊ ㄍㄨㄢˋ / yí guàn
山坡地	傾斜地、斜面	ㄕㄢ ㄆㄛ ㄉㄧˋ / shān pō dì
不動產	不動産	ㄅㄨˊ ㄉㄨㄥˋ ㄘㄢˇ / bú dòng cǎn
內政部	内政部（台湾の行政機関）	ㄋㄟˋ ㄓㄥˋ ㄅㄨˋ / nèi zhèng bù
公演	公演する	ㄍㄨㄥ ㄧㄢˇ / gōng yǎn
分手	別れる	ㄈㄣ ㄕㄡˇ / fēn shǒu
分布	分布する	ㄈㄣ ㄅㄨˋ / fēn bù
分辨	見分ける、識別する	ㄈㄣ ㄅㄧㄢˋ / fēn biàn
代理商	代理店	ㄉㄞˋ ㄌㄧˇ ㄕㄤ / dài lǐ shāng
刊登	掲載する	ㄎㄢ ㄉㄥ / kān dēng
功效	効能、効果	ㄍㄨㄥ ㄒㄧㄠˋ / gōng xiào
幼稚	幼稚な	ㄧㄡˋ ㄓˋ / yòu zhì
必定	必ず、きっと	ㄅㄧˋ ㄉㄧㄥˋ / bì dìng
打工	アルバイトをする	ㄉㄚˇ ㄍㄨㄥ / dǎ gōng
正義	正義	ㄓㄥˋ ㄧˋ / zhèng yì
立法	立法する	ㄌㄧˋ ㄈㄚˇ / lì fǎ
地形	地形	ㄉㄧˋ ㄒㄧㄥˊ / dì xíng
好奇	好奇心を持つ	ㄏㄠˋ ㄑㄧˊ / hào qí
好朋友	親友、良い友達	ㄏㄠˇ ㄆㄥˊ ㄧㄡˇ / hǎo péng yǒu
成龍	ジャッキー・チェン	ㄔㄥˊ ㄌㄨㄥˊ / chéng lóng
老大	ボス、長男	ㄌㄠˇ ㄉㄚˋ / lǎo dà
自來水	水道水	ㄗˋ ㄌㄞˊ ㄕㄨㄟˇ / zì lái shuǐ
自學方案	独学プラン	ㄗˋ ㄒㄩㄝˊ ㄈㄤ ㄢˋ / zì xué fāng àn
行車	車の運行、運転する	ㄒㄧㄥˊ ㄔㄜ / xíng chē
冷氣	冷房、エアコン	ㄌㄥˇ ㄑㄧˋ / lěng qì
吸毒	麻薬を吸う	ㄒㄧ ㄉㄨˊ / xī dú
技藝	技芸、テクニック	ㄐㄧˋ ㄧˋ / jì yì
把握	把握する、掴む	ㄅㄚˇ ㄨㄛˋ / bǎ wò
找尋	探し求める	ㄓㄠˇ ㄒㄩㄣˊ / zhǎo xún
私人	私人、私的な	ㄙ ㄖㄣˊ / sī rén
赤字	赤字	ㄔˋ ㄗˋ / chì zì
車價	車の価格	ㄔㄜ ㄐㄧㄚˋ / chē jià
定義	定義	ㄉㄧㄥˋ ㄧˋ / dìng yì
沿岸	沿岸	ㄧㄢˊ ㄢˋ / yán àn
糾紛	トラブル、紛争	ㄐㄧㄡ ㄈㄣ / jiū fēn
肥胖	肥満の	ㄈㄟˊ ㄆㄤˋ / féi pàng
信仰	信仰する	ㄒㄧㄣˋ ㄧㄤˇ / xìn yǎng
便利	便利な	ㄅㄧㄢˋ ㄌㄧˋ / biàn lì
度過	過ごす、乗り越える	ㄉㄨˋ ㄍㄨㄛˋ / dù guò
春假	春休み	ㄔㄨㄣ ㄐㄧㄚˋ / chūn jià
流傳	伝わる、流布する	ㄌㄧㄡˊ ㄔㄨㄢˊ / liú chuán
活躍	活躍する	ㄏㄨㄛˊ ㄩㄝˋ / huó yuè
研究所	研究所、大学院	ㄧㄢˊ ㄐㄧㄡˋ ㄙㄨㄛˇ / yán jiù suǒ
若是	もし～なら	ㄖㄨㄛˋ ㄕˋ / ruò shì
負面	ネガティブな、マイナス面の	ㄈㄨˋ ㄇㄧㄢˋ / fù miàn
原住民	先住民	ㄩㄢˊ ㄓㄨˋ ㄇㄧㄣˊ / yuán zhù mín
捕捉	捕捉する、捕まえる	ㄅㄨˇ ㄓㄨㄛ / bǔ zhuō
時常	常に、よく	ㄕˊ ㄔㄤˊ / shí cháng
海軍	海軍	ㄏㄞˇ ㄐㄩㄣ / hǎi jūn
國產	国産の	ㄍㄨㄛˊ ㄘㄢˇ / guó cǎn
密度	密度	ㄇㄧˋ ㄉㄨˋ / mì dù
清晰	はっきりしている、クリアな	ㄑㄧㄥ ㄒㄧ / qīng xī
規格	規格	ㄍㄨㄟ ㄍㄜˊ / guī gé
設法	方法を考える、手を尽くす	ㄕㄜˋ ㄈㄚˇ / shè fǎ
這兒	ここ	ㄓㄜˋ ㄦ / zhè er
鳥類	鳥類	ㄋㄧㄠˇ ㄌㄟˋ / niǎo lèi
復甦	回復する、復興する	ㄈㄨˋ ㄙㄨ / fù sū
短暫	短い、束の間の	ㄉㄨㄢˇ ㄓㄢˋ / duǎn zhàn
稍微	少し、やや	ㄕㄠ ㄨㄟˊ / shāo wéi
華人	華人、中国人	ㄏㄨㄚˊ ㄖㄣˊ / huá rén
視力	視力	ㄕˋ ㄌㄧˋ / shì lì
週年慶	周年記念セール、アニバーサリー	ㄓㄡ ㄋㄧㄢˊ ㄑㄧㄥˋ / zhōu nián qìng
開課	授業を始める、開講する	ㄎㄞ ㄎㄜˋ / kāi kè
階層	階層	ㄐㄧㄝ ㄘㄥˊ / jiē céng
感冒	風邪をひく	ㄍㄢˇ ㄇㄠˋ / gǎn mào
農夫	農夫	ㄋㄨㄥˊ ㄈㄨ / nóng fū
臺東	台東	ㄊㄞˊ ㄉㄨㄥ / tái dōng
劇情	ストーリー、あらすじ	ㄐㄩˋ ㄑㄧㄥˊ / jù qíng
劇場	劇場	ㄐㄩˋ ㄔㄤˇ / jù chǎng
增進	増進する、深める	ㄗㄥ ㄐㄧㄣˋ / zēng jìn
層面	側面、レベル	ㄘㄥˊ ㄇㄧㄢˋ / céng miàn
廣告界	広告界	ㄍㄨㄤˇ ㄍㄠˋ ㄐㄧㄝˋ / guǎng gào jiè
憤怒	怒る、憤怒	ㄈㄣˋ ㄋㄨˋ / fèn nù
熱量	カロリー、熱量	ㄖㄜˋ ㄌㄧㄤˋ / rè liàng
學問	学問、知識	ㄒㄩㄝˊ ㄨㄣˋ / xué wèn
燃燒	燃焼する	ㄖㄢˊ ㄕㄠ / rán shāo
選用	選んで用いる、採用する	ㄒㄩㄢˇ ㄩㄥˋ / xuǎn yòng
優勝	優勝する	ㄧㄡ ㄕㄥˋ / yōu shèng
總裁	総裁、社長	ㄗㄨㄥˇ ㄘㄞˊ / zǒng cái
聲明	声明（する）	ㄕㄥ ㄇㄧㄥˊ / shēng míng
講座	講座	ㄐㄧㄤˇ ㄗㄨㄛˋ / jiǎng zuò
爆炸	爆発する	ㄅㄠˋ ㄓㄚˋ / bào zhà
覺醒	覚醒する、目覚める	ㄐㄩㄝˊ ㄒㄧㄥˇ / jué xǐng
釋出	放出する、手放す	ㄕˋ ㄔㄨ / shì chū
變速箱	トランスミッション、ギアボックス	ㄅㄧㄢˋ ㄙㄨˋ ㄒㄧㄤ / biàn sù xiāng
變遷	変遷する	ㄅㄧㄢˋ ㄑㄧㄢ / biàn qiān
體積	体積	ㄊㄧˇ ㄐㄧ / tǐ jī
人權	人権	ㄖㄣˊ ㄑㄩㄢˊ / rén quán
下雨	雨が降る	ㄒㄧㄚˋ ㄩˇ / xià yǔ
下臺	退陣する、ステージから降りる	ㄒㄧㄚˋ ㄊㄞˊ / xià tái
大腦	大脳	ㄉㄚˋ ㄋㄠˇ / dà nǎo
工作者	労働者、ワーカー	ㄍㄨㄥ ㄗㄨㄛˋ ㄓㄜˇ / gōng zuò zhě
工研院	工業技術研究院（工研院）	ㄍㄨㄥ ㄧㄢˊ ㄩㄢˋ / gōng yán yuàn
今後	今後	ㄐㄧㄣ ㄏㄡˋ / jīn hòu
六年國建	六年国家建設（台湾の政策）	ㄌㄧㄡˋ ㄋㄧㄢˊ ㄍㄨㄛˊ ㄐㄧㄢˋ / liù nián guó jiàn
天文	天文	ㄊㄧㄢ ㄨㄣˊ / tiān wén
夫人	夫人、奥様	ㄈㄨ ㄖㄣˊ / fū rén
文物	文物、文化財	ㄨㄣˊ ㄨˋ / wén wù
平安	平安な、無事な	ㄆㄧㄥˊ ㄢ / píng ān
平靜	平静な、穏やかな	ㄆㄧㄥˊ ㄐㄧㄥˋ / píng jìng
正如	ちょうど～のように	ㄓㄥˋ ㄖㄨˊ / zhèng rú
民營	民営の	ㄇㄧㄣˊ ㄧㄥˊ / mín yíng
伊拉克	イラク	ㄧ ㄌㄚ ㄎㄜˋ / yī lā kè
冰河	氷河	ㄅㄧㄥ ㄏㄜˊ / bīng hé
名人	有名人	ㄇㄧㄥˊ ㄖㄣˊ / míng rén
成語	成語、四字熟語	ㄔㄥˊ ㄩˇ / chéng yǔ
有錢	お金持ちである	ㄧㄡˇ ㄑㄧㄢˊ / yǒu qián
污染	汚染（する）	ㄨ ㄖㄢˇ / wū rǎn
冷靜	冷静な	ㄌㄥˇ ㄐㄧㄥˋ / lěng jìng
吸煙	喫煙する	ㄒㄧ ㄧㄢ / xī yān
均衡	均衡、バランス	ㄐㄩㄣ ㄏㄥˊ / jūn héng
局長	局長	ㄐㄩˊ ㄓㄤˇ / jú zhǎng
那天	あの日	ㄋㄚˋ ㄊㄧㄢ / nà tiān
受理	受理する	ㄕㄡˋ ㄌㄧˇ / shòu lǐ
